track_name,lyrics
Drive Slow, drive slow homie drive slow homie you never know homie might meet some hoes homie you need to pump your brakes and drive slow homie my homie mali used to stay at 79th and may one of my best friends from back in the day down the street from calumet a school full of stones he nicknamed me k rock so they would leave me alone bulls jacket with his hat broke way off and walked around the mall with his radio face off plus he had the spinner from his daytons in his hand keys in his hand reason again to let you know he s the man back when we rocked ellesses he had dreams of caprices drove by the teachers even more by polices how d he get the cash the day his father passed away left him with a lil somethin sixteen he was stuntin al b sure nigga with the hair all wavy hit lake shore girls go all crazy hit the freeway go at least bout eighty boned so much that summer even had him a baby see back back then then if you had a car you was the chi town version of baby and i was just a virgin a baby one of the reasons i looked up to him crazy i used to love to play my demo tape when the system yanked felt like i was almost signed when the shit got cranked we d take a saturday and just circle the mall they had they lincolns and auroras we was hurtin em all with the girls a lot of flirtin involved but dog fuck all that flirtin now i m tryin to get in some drawers so put me on with these hoes homie he told me don t rush to get grown drive slow homie drive slow homie drive slow you never know homie about these hoes homie you need to pump your brakes and drive slow homie what it do i m posted up in the parking lot my trunk waving the candy gloss is immaculate it s simply amazing them elbows pokin wide on that candy lac trunk open screens on neons lit with fifth relaxed i m on a mission for dime pieces and sexy ladies allow me to introduce you to my cl mercedes it s a star studded event when i valet park open up my mouth and sunlight illuminates the dark you see them fours crawling you see them screens falling the disco ball in my mouth insinuates i m ballin i m leaning on the switch sitting crooked in my slab but i could still catch boppers if i drove a cab a young houston hardhitter all about the scrilla ridin something candy coated crawling like a caterpillar i m tipping on them fours i m jamming on that screw i m looking for them hoes baby what it do drive slow homie turn your hazard lights on when you see them hoes drive slow homie if you re riding around the city with nowhere to go drive slow homie live today cause tomorrow man you never know you never know homie might meet some hoes homie you need to pump your brakes and drive slow homie my car s like the movie my car s like the crib i got more tvs in here than where i live and that don t make no sense but baby i m the shit and everything i flip you know it s something serious i got the custom grill i got the brabus rims i got the baller genetics baby this evidence you see a player flicking and how you ain t convinced that you should go on and kiss it just a lil bit just a lil bit i got my custom kicks i got my jesus chain my canaries is gleamin through my angel wings they see me hoes actin like they seen a king with that mean lean smoking on that finest cali green my woodgrain oak i m ridin on vogues my cylinder quiet like tip toes i sold o s and this i know when you see them hoes lil homie drive slow drive slow drive slow yeah drive slow homie drive slow homie you never know homie might meet some hoes homie you need to pump your brakes and drive slow homie drive slow homie
Gold Digger, she take my money when i m in need yeah she s a triflin friend indeed oh she s a gold digger way over town that digs on me she give me money now i ain t sayin she a gold digger when i m in need but she ain t messin with no broke niggas she give me money now i ain t sayin she a gold digger when i m in need but she ain t messin with no broke niggas i gotta leave get down girl go head get down i gotta leave get down girl go head get down i gotta leave get down girl go head get down i gotta leave get down girl go head cutie the bomb met her at a beauty salon with a baby louis vuitton under her underarm she said i can tell you rock i can tell by your charm far as girls you got a flock i can tell by your charm and your arm but i m lookin for the one have you seen her my psychic told me she ll have a ass like serena trina jennifer lopez four kids and i gotta take all they bad asses to show biz okay get your kids but then they got their friends i pulled up in the benz they all got up in we all went to din and then i had to pay if you fuckin with this girl then you better be paid you know why it take too much to touch her from what i heard she got a baby by busta my best friend said she used to fuck with usher i don t care what none of y all say i still love her she give me money now i ain t sayin she a gold digger when i m in need but she ain t messin with no broke niggas she give me money now i ain t sayin she a gold digger when i m in need but she ain t messin with no broke niggas i gotta leave get down girl go head get down i gotta leave get down girl go head get down i gotta leave get down girl go head get down i gotta leave get down girl go head eighteen years eighteen years she got one of your kids got you for eighteen years i know somebody payin child support for one of his kids his baby mama car and crib is bigger than his you will see him on tv any given sunday win the super bowl and drive off in a hyundai she was supposed to buy your shorty tyco with your money she went to the doctor got lipo with your money she walkin around lookin like michael with your money shoulda got that insured geico for your money if you ain t no punk holla we want prenup we want prenup yeah it s somethin that you need to have cause when she leave yo ass she gon leave with half eighteen years eighteen years and on the 18th birthday he found out it wasn t his she give me money now i ain t sayin she a gold digger when i m in need but she ain t messin with no broke niggas she give me money now i ain t sayin she a gold digger when i m in need but she ain t messin with no broke niggas i gotta leave get down girl go head get down i gotta leave get down girl go head get down i gotta leave get down girl go head get down i gotta leave get down girl go head now i ain t sayin you a gold digger you got needs you don t want a dude to smoke but he can t buy weed you go out to eat he can t pay y all can t leave there s dishes in the back he gotta roll up his sleeves but while y all washin watch him he gon make it to a benz out of that datsun he got that ambition baby look at his eyes this week he moppin floors next week it s the fries so stick by his side i know there s dudes ballin and yeah that s nice and they gonna keep callin and tryin but you stay right girl and when he get on he ll leave yo ass for a white girl i gotta leave get down girl go head get down i gotta leave get down girl go head get down i gotta leave get down girl go head get down i gotta leave get down girl go head let me hear that back
Gone, wished i had told ooh was the only one uh oh but it s too late it s too late he s gone you sweat her and i ain t talkin bout a coogi you a big l and i ain t talkin bout cool j see me at the airport at least twenty louis treat me like the prince and this my sweet brother numpsay brother numpsay groupies say i m too choosy take em to the show and talk all through the movies say she want diamonds i took her to ruby tuesdays if we up in fridays i still have it my way gone gone we striving home gone i ride on chrome it s too late y all don t want no prob from me what you rappers could get is a job from me maybe you could be my intern and in turn i ll show you how i cook up summer in the winter aaron love the raw dog when will he learn caught something on the usher tour he had to let it burn plus he already got three chil r n arguin over babysitters like bitch it s your turn damn ye it d be stupid to diss you even your superficial raps is super official r r r roc pastelle with gucci on with tvs in the ride throw a movie on said he couldn t rap now he at the top with doobie long cause i dookied on any song that they threw me on gone we striving home gone i ride on chrome we striving home we striving home gone killa i ride on chrome knock knock who s there killa cam killa who killa cam hustler grinder guerilla troop oh my chinchilla blue blue you ever dealt with a dealer well here s the deal ma we going to the dealer woo no concealing no ceiling i don t need a roof act up get out i don t need you poof poof be gone damn tough luck dag dag niggas still doing puff puff pass puff pass pull the truck up fast and i tell em hey back in a touched up jag shit y all niggas wanna get in cam s cerebellum an old man just gon tell em too late then i see how y all gonna react when i m gone my last girl want me back then i m on fine stay you got the grind hey came back read what the sign say he s gone yes i know you wanna see my demise yeah you church boy acting like a thief in disguise ain t even my size see the greed in my eyes ask abby i hustle brought weed to the chi chyeah and that ain t even a lie please believe me gave weezie a piece of the pie and you can ask george or regina the whole west side i explore with the bimmer now we striving home i ride on chrome listen homeboy move on that s your best bet why s that cons i been pouring out some liquor for the fact that my pal s gone and trying to help his momma with the fact that her child gone and since we used to bubble like a tub full of calgon guess it s only right that i should help her from now on but since they got afoul on what could ve gone wrong now they asking cons how long has this gone on and maybe all this money might have gone to my head cause they got me thinking money might have gone to the feds so i had gone to the dread but he had gone up to bed and when i came the next morning he was gone with my bread and with that being said i had gone on my instincts and gone to the spots where they go to get mixed drinks but looking back now i should ve gone to the crib and rented gone with the wind cause i da gone in by ten but i had gone with my friend and we had gone to the bar and heard a nigga talking shit so i had gone to the car and now the judge is telling me that i had gone too far and now we gone for twenty years doing time behind bars and since i gone to a cell for some petty crimes i guess i gone to the well one too many times cause i m gone uh uh uh uh uh uh uh uh onnn uh uh uh onnn uh uh onnn uh uh uh i m ahead of my time sometimes years out so the powers that be won t let me get my ideas out and that make me wanna get my advance out and move to oklahoma and just live at my aunt s house yeah i romance the thought of leaving it all behind kanye step away from the lime light like when i was on the grind in the 1 9 9 9 before model chicks was bending over or dealerships asked me benz or rover man if i could just get one beat on hova we could get up off this cheap ass sofa what the summer of the chi got to offer an eighteen year old sell drugs or get a job you gotta play your role my dog worked at taco bell hooked us up plural fired a week later the manager count the churros sometimes i can t believe it when i look up in the mirro how we out in europe spending euros they claim you never know what you got til it s gone i know i got it i don t know what y all on i ma open up a store for aspiring mcs won t sell em no dream but the inspiration is free but if they ever flip sides like anakin you ll sell everything including the mannequin they got a new bitch now you jennifer aniston hold on i ll handle it don t start panickin stay calm shorties at the door cause they need more inspiration for they life they souls and they songs they said sorry mr west is gone 
Heard 'Em Say, wake up mr west mr west mr west uh yea uh yea uh yea and i heard em say nothing s ever promised tomorrow today from the chi like tim it s a harder way so this is in the name of love like robert say before you ask me to go get a job today can i at least get a raise of the minimum wage and i know that the government administer aidsso i guess we just pray like the minister say allāhu akbar and throw in some hot cars things we see on the screen that s not ours but these niggas from the hood so these dreams not far where i m from the dope boys is the rock stars but they can t cop cars without seeing cop cars i guess they want us all behind bars i know it uh and i heard em say ooh nothing s ever promised tomorrow today and i heard em say nothing s ever promised tomorrow today nothing s ever promised tomorrow today but we ll a find a way and nothing last forever but be honest babe it hurts but it may be the only way they say people in your life are seasons and anything that happen is for a reason and niggas gun clapping and keep to squeezing and gran keep praying and keep believing in jesus and one day that you see him til then walk in his footsteps and try to be him the devil is alive i feel him breathin claiming money is the key so keep on dreamin and put them lottery tickets just to tease us my aunt pam can t put them cigarettes down so now my little cousin smokin them cigarettes now his job try to claim that he too niggerish now is it cause his skin blacker than licorice now i can t figure it out i m sick of it now uh and i heard em say ooh nothing s ever promised tomorrow today and i heard em say nothing s ever promised tomorrow today nothing s ever promised tomorrow today but we ll a find a way and nothing last forever but be honest babe it hurts but it may be the only way with every worthless word we get more far away and nothing s ever promised tomorrow today and nothing lasts forever but be honest babe it hurts but it may be the only way oohh oohh oohh oohh uh yea uh yea uh yea
Hey Mama, hey mama i wanna scream so loud for you cause i m so proud of you let me tell you what i m about to do hey mama i know i act a fool but i promise you i m goin back to school i appreciate what you allowed for me i just want you to be proud of me hey mama i wanna tell the whole world about a friend of mine this little light of mine and i m finna let it shine i m finna take y all back to them better times i m finna talk about my mama if y all don t mind i was three years old when you and i moved to the chi late december harsh winter gave me a cold you fixed me up something that was good for my soul famous homemade chicken soup can i have another bowl you work late nights just to keep on the lights mommy got me training wheels so i could keep on my bike and you would give anything in this world michael jackson leather and a glove but didn t give me a curl and you never put no man over me and i love you for that mommy can t you see seven years old caught you with tears in your eyes cause a nigga cheatin telling you lies then i started to cry as we knelt on the kitchen floor i said mommy i ma love you til you don t hurt no more and when i m older you ain t gotta work no more and i ma get you that mansion that we couldn t afford see you re unbreakable unmistakable highly capable lady that s makin loot a livin legend too just look at what heaven do send us an angel and i thank you hey mama hey mama i wanna scream so loud for you cause i m so proud of you let me tell you what i m about to do hey mama i know i act a fool but i promise you i m goin back to school i appreciate what you allowed for me i just want you to be proud of me hey mama forrest gump mama said life is like a box of chocolates my mama told me go to school get your doctorate somethin to fall back on you could profit with but still supported me when i did the opposite now i feel like it s things i gotta get things i gotta do just to prove to you you was getting through can the choir please give me a verse of you are so beautiful to me can t you see you re like a book of poetry maya angelou nikki giovanni turn one page and there s my mommy come on mommy just dance wit me let the whole world see your dancing feet now when i say hey y all say mama now everybody answer me hey mama hey mama i wanna scream so loud for you cause i m so proud of you let me tell you what i m about to do hey mama i know i act a fool but i promise you i m goin back to school i appreciate what you allowed for me i just want you to be proud of me hey mama i guess it also depends though if my ends low second they get up you gon get that benzo tint the windows ride around the city and let ya friends know hey mama tell your job you gotta fake em out since you brought me in this world let me take you out to a restaurant upper echelon i ma get you a jag whatever else you want just tell me what kind of s type donda west like tell me the perfect color so i make it just right it don t gotta be mother s day or your birthday for me to just call and say hey mama i wanna scream so loud for you cause i m so proud of you let me tell you what i m about to do hey mama you know i love you so i never let you go wrote this song just so you know no matter where you go our love is true mama mama mama mama mama mama mama mama mama mama 
Late, little girl a ha ha ha ha please stop your crying i ll be late for that baby i ll wait for that if you had a taste of that you d probably pay for that i m comin in when i feel like so turn this motherfucker up only if it feels right i ll be late for that i can t wait for that i think i was made for that so i m comin in when i feel like so turn this motherfucker up only if it feels right little girl a ha ha ha ha please stop your crying stop all your blood clot cryin i was flyin made it to school with barely enough time to sign in yeah i hear the alarm yeah i hear you mom yeah yeah i don t wan be broke when i m thirty one they said the best classes go to the fastest sorry mr west there s no good classes and that s what yo ass get not even electives not even prerequisites you mean i missed my major by a couple of seconds now i m in the shop class or the basket weavin with all the rest of the motherfuckers underachievin man this is an insult i went to junior high with all of them and they been slow if i can catch the beat then slow down the tempo just throw this at the end if i m too late for the intro will i make it from the student loans to a benzo like old folks pissin i guess it all depends oh oh little girl a ha ha ha ha please stop your crying stop your cryin baby i ll be late for that baby i ll wait for that if you had a taste of that you d probably pay for that i m comin in when i feel like so turn this motherfucker up only if it feels right i ll be late for that i can t wait for that i think i was made for that so i m comin in when i feel like so turn this motherfucker up only if it feels right little girl a ha ha ha ha please stop your crying you know when you be late you miss all the lights that s right that s right that s right that s right and when you get back she gon start up a fight that night that night that night baby it s too late for that lately i ve been takin it slow try and make it to the party fore the guest list close with the freshest hoes the professors know we about to get real unprofessional like them eskimos what would you do for a klondike or two dykes that look christina milian like hmm i ll be on time for that i ain t thought of no line that could rhyme with that yo i ll be there in five minutes five hours later i ll be there in five minutes go head ride with it i m so live with it look how i did it been bullshittin but i finally arrived with it i know it s late and i took all year but you can stop complainin cause i m finally here yeah cause i ll erase away cause i ll erase away cause i ll erase away cause i ll erase away a ha ha ha ha 
My Way Home, yeah they say home is where the hate is my dome is where fate is i stroll where souls get lost like vegas seen through the eyes of rebel glasses pray to god that my arms reach the masses the young smoke grass in grassless jungles rubber band together in cashless bundles we wear strugglin chains divided only hustle remains makin sense of it we hustle for change revolution ain t a game it s another name for life fightin someone to stay in they corner like mike tyson hypes fightin for hits to heighten they hell don t he know he could only get as high as he fell show money becomes bail relationships become jail children are unheld i wish love was for sale behold the pale horse got me trapped like r kel i bail and it might not be such a bad idea if i never never went home again i m on my way home i left three days ago but no one seems to know i m gone home is where the hatred is home is filled with pain and it might not be such a bad idea if i never never went home again 
Roses, i know it s past visiting hours but can i please give her these flowers the doctor don t wanna take procedures he claim her heart can t take the anaesthesia it ll send her body into a seizure that lil thing by the hospital bed it ll stop beepin hey chick i m at a loss for words what do you say at this time remember when i was 9 tell her everything gon be fine but i be lyin her family cryin they want her to live and she tryin i m arguin like what kind of doctor can we fly in you know the best medicine go to people that s paid if magic johnson got a cure for aids and all the broke motherfuckers passed away you telling me if my grandma s in the nba right now she d be okay but since she was just a secretary worked for the church for 35 years things sposed to stop right here my grandfather tryin to pull it together he s strong that s where i get my confidence from i asked the nurse did you do the research she asked me can you sign some t shirts bitch is you smokin reefer you don t see that we hurt but still i smile when rosie comes to see me and i can t wait for a sunny day seeing it through your eyes can t wait for the clouds to break they outside of the emergency room room you can feel my heartbeat beat beat if she gon pull through we gon find out soon but right now she asleep sleep sleep my momma say they say she could pass away any day hey chick what these doctors know anyway let me see the x rays i ain t no expert i m just hurt cousin kim took off of work plus my aunt shirley aunt beverly aunt clay and aunt jean so many aunties we could have an auntie team feel like amerie it s just one thing when they said that she made it you see they eyes gleam i think we at a all time high to get there we run we fly we drive cause with my family we know where home is and so instead of sending flowers we the roses i smile when rosie comes to see me and i can t wait for a sunny day seeing it through your eyes can t wait for the clouds to break cause rosie brings the sunshine oh i smile when rosie comes to see me and i can t wait for a sunny day seeing it through your eyes can t wait for the clouds to break i smile when rosie comes to see me and i m sad when rosie goes away cause rosie brings the sunshine say can t wait i can t wait no can t wait i can t wait no can t wait i can t wait no can t wait for for a sunny day momma can t wait for the clouds to break mm mmm mm mm mm mm mm oh oh oh oh no no say tellin you the truth now said i can t wait uh uh i won t wait no
Touch The Sky, i gotta testify come up in the spot lookin extra fly fore the day i die i ma touch the sky gotta testify come up in the spot lookin extra fly fore the day i die i ma touch the sky back when they thought pink polos would hurt the roc before cam got the shit to pop the doors was closed i felt like bad boy s street team i couldn t work the locks now let s go take em back to the plan me and my momma hopped in that u haul van any pessimists i ain t talk to them plus i ain t have no phone in my apart a ment let s take em back to the club least about an hour i stand on line i just wanted to dance i went to jacob an hour after i got my advance i just wanted to shine jay favorite line dawg in due time now he look at me like damn dawg you where i am a hip hop legend i think i died in that accident cause this must be heaven i gotta testify come up in the spot lookin extra fly fore the day i die i ma touch the sky gotta testify come up in the spot lookin extra fly fore the day i die i ma touch the sky now let s take them hi ah igh igh igh ighhhh top of the world baby top top of the world a la la la lah la lahhhhh top of the world baby on top of the world now let s take them hi ah igh igh igh ighhhh top of the world baby top top of the world a la la la lah la lahhhhh top of the world baby on top of the world back when gucci was the shit to rock back when slick rick got the shit to pop i d do anything to say i got it damn them new loafers hurt my pocket before anybody wanted k west beats me and my girl split the buffet at kfcdog i was havin nervous breakdowns like man these niggas that much better than me baby i m goin on an aeroplane and i don t know if i ll be back again sure enough i sent the plane tickets but when she came to kick it things became different any girl i cheated on sheets i skeeted on couldn t keep it at home thought i needed a nia long i m tryin to right my wrongs but it s funny them same wrongs helped me write this song i gotta testify come up in the spot lookin extra fly fore the day you die you gon touch the sky you gon touch the sky baby girl testify come up in the spot lookin extra fly fore the day you die you gon touch the sky yes yes yes guess who s on third lupe steal like lupin the 3rd here like ear til i m beer on the curb peachfuzz buzz but beard on the verge let s slow it down like we re on the syrup bottle shaped body like mrs butterworth but before you say another word i m back on the block like i m layin on the street i m tryna stop lyin like i m mumm ra but i m not lyin when i m layin on the beat en garde or touché lupe cool as the unthawed but i still feel possessed as a gun charge come as correct as a porn star in a fresh pair steps in my best foreign car so i represent the first now let me end my verse right where the horns are like uh i gotta testify come up in the spot lookin extra fly fore the day you die you gon touch the sky you gon touch the sky baby girl testify come up in the spot lookin extra fly fore the day you die you gon touch the sky we back at home baby sky high i m i m sky high i m i m sky high i m i m sky high i m i m sky high i m i m sky high sky sky high i m i m sky high yeah keep it rollin yeah uh feels good to be home baby feels good to be home 
Wake Up Mr. West, oh ho ho ho i knew i was gon see i knew i was gon see you again knew i was gon see you again where your goddamn book bag at always carryin that lil book bag nobody wants to see that goddamn 4th grader sit your ass down he wanna play it again like he got somethin else to do you ain t got somethin else to do you ain t doin nothin wit your life notin wit your life you think this is you better look at me when i m talkin to you you think this shit easy don t you you think this is promised well ain t nothin promised to you look at my face do i got a promised face does it look like i promised you anything kanye nigga is you snorin in my class wake up mr west wake up mr west 
We Major, you motherfuckers better do your job and roll up and watch how we roll up and i can t control it i can t hold it it s so nuts i take a sip of that gnac i wanna fuck i take a hit of that chronic it got me stuck but really what s amazing is how i keep blazing towel under the door we smoke until the day s end puff puff then pass don t fuck up rotation hpnotiq for henny now nigga that s a chaser turn nothing to something now pimping that s a savior best things are green now pimpin get your paper high off the ground from stair to skyscraper cool out thinking we local c mon homie we major we major c mon homie we major we major c mon homie we major we major c mon homie we major we major c mon feeling better than some head on a sunday afternoon better than a chick that say yes too soon until you have a daughter that s what i call karma and you pray to god she don t grow breasts too soon projects tore up gang signs is thrown up niggas hats broke off that s how we grow up why else you think shorties write rhymes just to blow up get they first car and then irs show up he ain t never had shit but he had that nine nigga come through flicking and he had that shine put two and two together and a little bad weather gon be your whole family on that funeral line asked the reverend was the strip clubs cool if my tips helped send a pretty girl through school that s all i want like winos want they good whiskey i ain t in the klan but i brought my hood with me you motherfuckers better do your job and roll up and watch how we roll up and i can t control it i can t hold it it s so nuts i take a sip of that gnac i wanna fuck i take a hit of that chronic it got me stuck but really what s amazing is how i keep blazing towel under the door we smoke until the day s end puff puff then pass don t fuck up rotation hpnotiq for henny now nigga that s a chaser turn nothing to something now pimping that s a savior best things are green now pimpin get your paper high off the ground from stair to skyscraper cool out thinking we local c mon homie we major we major c mon homie we major we major c mon homie we major we major c mon homie we major we major c mon homie we major i heard the beat and i ain t know what to write first line should it be about the hoes or the ice four fours or black christ both flows d be nice rap about big paper or the black man plight at the studio console asked my man to the right what this verse sound like should i freestyle or write he said nas what the fans want is illmatic still looked at the pad and pencil and jotted what i feel been like twelve years since a nigga first signed now i m a free agent and i m thinking it s time to build my very own motown cause rappers be deprived of executive nine to fives and it hurts to see these companies be stealing the life and i love to give my blood sweat and tears to the mic so y all copped the lps and y all fiends got dealt i m jesse jackson on the balcony when king got killed i survived the livest niggas around lasted longer than more than half of you clowns look i used to cook before i had the game took either way my change came like sam cooke ba dop ba ba yeah yeah yeah yeah yeah yeah feeling better than i ever felt before today like better late than never it s orientation still we can make it better throwing all your cares away oh oh oh ooh you motherfuckers better do your job and roll up and watch how we roll up and ba dop ba ba i can t control it i can t hold it it s so nuts i take a sip of that gnac i wanna fuck i take a hit of that chronic it got me stuck but really what s amazing is how i keep blazing towel under the door we smoke until the day s end puff puff then pass don t fuck up rotation hpnotiq for henny now nigga that s a chaser oh oh oh ooh turn nothing to something now pimping that s a savior ba dop ba ba best things are green now pimpin get your paper high off the ground from stair to skyscraper cool out thinking we local c mon homie we major we major c mon homie we major we major c mon homie we major we major c mon homie we major we major oh oh oh ooh ba dop ba ba feeling better than i ever felt before today but better late than never it s orientation still we can make it better throwing all your cares away oh oh oh ooh can i talk my shit again can i talk my shit again i can t believe i m back up in this motherfucker i ma be late though i gotta figure out what i m finna wear yeah the roc is definitely in the building g o o d music s definitely in the building ugh i gotta say what s up to tony williams on the vocals sings he sings quite beautifully don t you agree don t you agree ugh and jon brion on the keys right now and warryn campbell on the keys right now so they asked me why you call it late registration ye cause we takin these motherfuckers back to school la la la la la la la la if you know this part right here feel free to sing along la la la la la la la la ba dop bop ba oh feeling better than i ever felt before today if you feeling good but better late than never it s orientation it s orientation but we can make it better throwing all your cares away we want you to get used to this oh oh oh ooh ba dop bop ba ugh they can t do what we do baby uh uh they can t do what we do baby uh uh they can t do what we do baby yeah oh oh oh ooh 
Barry Bonds, it s what you all been waiting for ain t it what people pay paper for damn it they can t stand it they want something new so let s get reacquainted became the hood favorite i can t even explain it i surprise myself too life of a don lights keep glowin comin in the club wit that fresh shit on wit somethin crazy on my arm uh huh hum and here s another hit barry bonds we outta here baby we outta here baby we outta here baby dude fresh off the plane konnichiwa bitches turn around another plane my passport on pivot ask for it i did it that asshole done did it talked it then he lived it spit it then he shit it i don t need writērs i might bounce ideas but only i could come up with some shit like this i done played the underdog my whole career i ve been a very good sport haven t i this year they say he goin crazy and we seen this before but i m doing pretty good as far as geniuses go and i m doing pretty hood in my pink polo nigga please how you gon say i ain t no lo head cause my dior got me more model head i m insulted you should go head and bow so hard til your knees hit your forehead and the flow just hit code red top five mcs you ain t gotta remind me top five mcs you gotta rewind me i m high up on the line you could get behind me but my head s so big you can t sit behind me life of a don lights keep glowin comin in the club wit that fresh shit on wit somethin crazy on my arm uh huh hum and here s another hit barry bonds yeah yeah we outta here baby what what we outta here baby ayy mr west we so outta here baby and me i m mr weezy baby yeah i m so bright not shady my teeth and my ice so white like shady ice in my teeth so refrigerated i m so fuckin good like i m sleepin with meagan ha i m all about my franklins lincolns and reagans whenever they make them i shall hayve them oops i meant have them i m so crazy but if you play crazy you be sleeping with daisies i m such a hayvoc oops i meant havoc and my drink s still pinker than the easter rabbit and i m still col like keyshia s family stove on my waist turn beef to patties bow and i ate it cause i m so avid no homo and i don t front and i don t go backwards and i don t practice and i don t lack shit and you can get buried suck my bat bitch ha we outta here baby we outta here baby we outta here baby swag at a hundred and climbin baby yeah life of a don lights keep glowin comin in the club wit that fresh shit on wit somethin crazy on my arm uh huh hum and here s another hit barry bonds
Big Brother, stadium status my big brother was b i g s brother used to be dame and biggs brother who was hip hop brother who was no i d friend no i d my mentor now let the story begin it s the hard knock life tour sellout picture us in the mall coppin iceberg and yell out jigga yeah that s what we ll yell out yell out you know the name do i gotta spell out or tell bout j a y and ye so shy now he won t even step to his idol to say hi standing there like a mime and let the chance pass by back of my mind he could change your life with all these beats i did at least let him hear it at least you can brag to ya friends back at the gig but he got me out my momma crib then he help me get my momma a crib big brother was b i g s brother used to be dame and biggs brother who was hip hop brother who was no i d friend no i d my mentor now let the story begin begin let the story begin if you feel the way i feel why don t you wave your hands fresh off the plane i m off to baseline nothing handed out i m bout to take mine round the same time of that blueprint 1 and these beats in my pocket was that blueprint for him i d play my little songs in that old back room he d bob his head and say damn oh that s you but by the black album i was blacking out partyin s o b s and we had packed a crowd big brother got his show up at madison square and i m like yeah yeah we gon be there but not only did i not get a chance to spit it carline told me i could buy two tickets i guess big brother was thinkin a little different and kept little brother at bay at a distance but everything that i felt was more bogus only made me more focused only wrote more potent only thing i wanna know is why i get looked over i guess i ll understand when i get more older big brother saw me at the bottom of the totem now i m on the top and everybody on the scrotum my big brother was b i g s brother used to be dame and biggs brother who was hip hop brother who was no i d friend no i d my mentor now let the story begin begin let the story begin if you feel the way i feel why don t you wave your hands have you ever walked in the shadow of a giant not only a client the presidito hola hovito the game gettin foul so here s a free throw i was always on the other side of the peephole then i dropped jesus walks now i m on the steeple and we know new jack city got to keep my brother but to be number one i ma beat my brother on that diamonds remix i swore i spazzed then my big brother came through and kicked my ass sibling rivalry only i could see it was the pride in me that was drivin me at the grammys i said i inspired me but my big brother who i always tried to be when i kicked a flow it was like pick and roll cause even if he gave me the rock it s give and go i guess beanie s style was more of a slam dunk and my shit was more like a finger roll but i had them singles though and them hoes at the show gonna mingle yo heh y all know i told jay i did a song with coldplay next thing i know he got a song with coldplay back in my mind i m like damn no way translate español no way josé then i went and told jay brown shoulda known that was gonna come back around shoulda talked to you like a man shoulda told you first but i told somebody else and that s what made shit worse my big brother was b i g s brother so here s a few words from ya kid brother if you admire somebody you should go on head tell em people never get the flowers while they can still smell em a idol in my eyes god of the game heart of the city roc a fella chain never be the same never be another number one young hov also my big brother my big brother was b i g s brother used to be dame and biggs brother who was hip hop brother who was no i d friend no i d my mentor and that s where the story ends toomp killed this shit
Can't Tell Me Nothing, la la la la yeah wait til i get my money right i had a dream i could buy my way to heaven when i awoke i spent that on a necklace i told god i d be back in a second man it s so hard not to act reckless to whom much is given much is tested get arrested guess until he get the message i feel the pressure under more scrutiny and what i do act more stupidly bought more jewelry more louis vmy mama couldn t get through to me the drama people suing me i m on tv talking like it s just you and me i m just saying how i feel man i ain t one of the cosby s i ain t go to hillman i guess the money should ve changed him i guess i should ve forgot where i came from la la la la wait til i get my money right la la la la then you can t tell me nothing right excuse me was you saying something uh uh you can t tell me nothing you can t tell me nothing uh uh you can t tell me nothing let up the suicide doors this is my life homie you decide yours i know that jesus died for us but i couldn t tell ya who decide wars so i parallel double parked that motherfucker sideways old folks talking bout back in my day but homie this is my day class started 2 hours ago oh am i late no i already graduated and you can live through anything if magic made it they say i talk with so much emphasis ooh they so sensitive don t ever fix your lips like collagen and say something when you gon end up apolog ing let me know if it s a problem then aight man holla then la la la la wait til i get my money right la la la la then you can t tell me nothing right excuse me was you saying something uh uh you can t tell me nothing you can t tell me nothing uh uh you can t tell me nothing let the champagne splash let that man get cash let that man get past he don t even stop to get gas if he can move through the rumors he can drive off of fumes cause how he move in a room full of no s how he stay faithful in a room full of hoes must be the pharaohs he in tune with his soul so when he buried in a tomb full of gold treasure what s your pleasure life is a uh depending how you dress her so if the devil wear prada adam eve wear nada i m in between but way more fresher with way less effort cause when you try hard that s when you die hard your homies looking like why god when they reminisce over you my god la la la la wait til i get my money right la la la la then you can t tell me nothing right excuse me was you saying something uh uh you can t tell me nothing you can t tell me nothing uh uh you can t tell me nothing la la la la wait til i get my money right la la la la then you can t tell me nothing right i m serious nigga i got money 
